제목,태그,조회수,영상길이,날짜, 댓글수 , 좋아요수 
오버워치 역대급 논란의 패치분석! 경쟁전 2/2/2/ 고정이라고요?,오버워치/오버워치 패치/오버워치 경쟁전/경쟁전 222/222/222 고정/패치/경쟁전,68003,10:56,2019-07-20,542,1400
레식이 PC방 무료화가 된다면서요? 【모지리들】, 레식/ 레인보우식스 시즈/  레인보우식스 시즈/  레식/ 트위치/ 종합게임/ 레식 pc방 무료화/ pc방 무료화,126131,10:05,2019-06-19,859,"1,782"
오버워치 죽일 때 마다 스킬이 초기화되는 데스매치, 오버워치 워크샵/ 워크샵/ 오버워치 데스매치/ 죽일 때 마다/  오버워치/  Overwatch/ 오버워치,191805,10:22,2019-06-18,178,2021
오버워치에서 제일 어려운 점프맵 워크샵, 레식/ 오버워치/  오버워치/ overwatch/ 오버워치 워크샵/  워크샵/ 세상에서 제일 어려운,121641,6:16,2019-06-16,179,1900
오버워치에서 가장 저평가되는 영웅,  오버워치/ 오버워치/ overwatch/ 오버워치 토르비욘/ 토르비욘/  옵치/ 옵치,328076,8:59,2019-06-15,566,2976
세상에서 제일 찌질해질 수 있는 게임,  종합게임/ 생존게임/ 데이즈/ DayZ/ 데이즈 스탠드얼론/  데이즈,30221,11:34,2019-06-14,97,728
오버워치에 철권모드가 나왔다!? ㅋㅋㅋ 액션감 대박, 오버워치/ 오버워치 워크샵/ 오버워치 철권/ 철권/ 철권 오버워치/ overwatch/  오버워치,101178,10:25,2019-06-12,147,1669
트위치 대기업분들께 오버워치 영업하고 왔습니다., 오버워치/ 얍얍/ 백설양/ 인간젤리/ 옥자/ 박옥자/ 치킨쿤/ Overwatch/ 오버워치  얍얍 오버워치,121866,10:59,2019-06-10,114,1796
"리뷰어 '솜사탕'의 인성 저격합니다. (양아지,콩비니,솜사탕)", 다잉라이트/ 솜사탕/ 양아지/ 이홍빈/ 콩비니,63835,10:09,2019-06-09,199,"1,372"
오버워치에서 맥크리 치명타 30% 넘는 법 공개, 오버워치/ Overwatch/ 오버워치 치명타/ 오버워치 맥크리/ 맥크리 치명타/ 치명타/ 오버워치 장인/ 맥크리 장인/  오버워치,321774,10:58,2019-06-08,501,"3,130"
레식... 사과드립니다. 그리고.. 플래1, 레식/  레식/ 레인보우식스 시즈/ 레식 강의/ 레식 고인물,76416,6:08,2019-06-07,588,"1,770"
양아지 흑역사 만들어주기 ㅋㅋㅋㅋ, 양아지/ 하이드 앤 쉬리크/ hid and shriek/ 양아지   양아지/ 트박스/ 트위치/ 핫클립/ 샌드박스,164146,10:23,2019-06-04,254,"2,586"
오버워치에서 【제일 어려운 맵】, 오버워치/  오버워치/ Overwatch/ 겐지 파쿠르/ 인내의 숲/ 오버워치 워크샵/ 트위치,138299,12:15,2019-06-01,265,"1,910"
이 게임때문에 친구랑 연 끊을 뻔 함 ㅋㅋㅋㅋ [슈퍼버니맨], 솜사탕/ 슈퍼버니맨/ 슈퍼버니맨 게임/ 슈퍼버니맨 모바일/  솜사탕/ 트위치/ 종합게임/ 게임/ 스팀,63437,10:07,2019-05-29,134,"1,453"
레식에서 가장 완벽한 암살 타이밍 ㅋㅋ [모지리들], 레식/ 레인보우식스 시즈/ 레식   레식/  모지리/ 모지리/ 모지리 레식,209349,10:00,2019-05-26,296,"2,595"
오버워치에서 쌍욕먹기 딱 좋은 게임, 오버워치/ Overwatch/ 자동차 피하기/ 오버워치 워크샵/ 워크샵/  오버워치,258945,10:13,2019-05-25,168,"2,293"
오버워치에서 1대1로 제일 무서운 영웅, 오버워치/ Overwatch/ 오버워치 브리기테/  오버워치/  Overwatch,247883,10:13,2019-05-24,349,"2,591"
오버워치 대박 신스킨 리뷰! 움직이면 물 흔들림 ㅋㅋㅋㅋ, 오버워치/ Overwatch/ 오버워치 신스킨/ 오버워치 감사제/ 신스킨/ 오버워치 패치/ 오버워치 신스킨 리뷰/ 신스킨 리뷰,327273,7:13,2019-05-22,547,"3,337"
최근 핫한 유튜버 양아지님 실물 썰,양아지/양아지 양아지 호떡/  양아지/양아지 트칸나/트칸나/샌드박스/트박스/핫클립/합방,344197,10:08,2019-05-21,622,"4,699"
오버워치 경찰과 도둑모드 ㅋㅋㅋ 인성질 짱이네,레식/오버워치/경찰과도둑/오버워치워크샵/오버워치/Overwatch/오버워치오버워치경찰과도둑,180331,7:52,2019-05-20,109,"1,943"
오버워치에 좀비탈출맵이 나옴 ㅋㅋ 좀비 개불쌍 ㅠㅠ,오버워치/좀비탈출/오버워치좀비탈출맵/오버워치좀비모드/워크샵/오버워치워크샵/오버워치/Overwatch,227218,10:09,2019-05-13,125,"2,036"
오버워치에 엄청 살벌한 피구가 나왔습니다. ㅋㅋㅋㅋㅋ,오버워치/overwatch/오버워치/오버워치워크샵/오버워치피구,187675,10:47,2019-05-16,105,"1,893"
섹드립 미친거 아닌가 //  트위치 핫클립 4월호,트위치/핫클립/핫클립/양아지/합방,118126,10:23,2019-05-14,258,"2,093"
